step,class 1,class 2,class 3,class 4,class 5,class 6
1,53004,53004,54489,57573,60652,63719
2,53004,53567,56778,59991,63192,66401
3,53004,55827,59160,62507,65846,69187
4,54688,58169,61640,65125,68609,72099
5,56975,60610,64238,67866,71497,75122
6,59376,63154,66930,70712,74494,78282
7,61872,65803,69738,73686,77635,81566
8,64470,68573,72669,76783,80887,84994
9,67172,71457,75721,80008,84281,88561
10,69995,74442,78900,83369,87820,92279
11,72939,77574,82206,86871,91508,96160
12,76005,80830,85664,90516,95352,100196
13,76005,80830,85664,90516,95352,100196
14,76005,80830,85664,90516,95352,100196
15,78855,83861,88876,93910,98928,103953
16,78855,83861,88876,93910,98928,103953
17,78855,83861,88876,93910,98928,103953
18,79805,84871,89947,95041,100120,105206
19,79805,84871,89947,95041,100120,105206
20,79805,84871,89947,95041,100120,105206
21,80755,85882,91018,96173,101312,106458
22,80755,85882,91018,96173,101312,106458
23,80755,85882,91018,96173,101312,106458
24,81705,86892,92089,97304,102503,107711
25,81705,86892,92089,97304,102503,107711
26,81705,86892,92089,97304,102503,107711
27,82655,87902,93159,98436,103695,108963
28,82655,87902,93159,98436,103695,108963
29,82655,87902,93159,98436,103695,108963
30,83605,88913,94230,99567,104887,110216
31,83605,88913,94230,99567,104887,110216
32,83605,88913,94230,99567,104887,110216
33,84555,89923,95301,100699,106079,111468
34,84555,89923,95301,100699,106079,111468
35,84555,89923,95301,100699,106079,111468
36,85505,90934,96372,101830,107271,112721
