step,class 1,class 2,class 3,class 4,class 5
1,53712,55818,57926,60809,64788
2,54766,56871,58844,62941,67060
3,55818,57926,60919,65139,69400
4,56871,58730,63042,67419,71831
5,57926,60793,65256,69780,74360
6,60287,62914,67535,72217,76953
7,62384,65115,69900,74758,79647
8,64578,67404,72335,77356,82429
9,66841,69762,74885,80077,84319
10,66841,72203,77498,82783,88314
11,66841,72203,80225,85783,91405
12,66841,72203,82372,91176,97142
13,66841,72203,82372,91176,97142
14,69916,75524,86161,95370,101611
15,69916,75524,86161,95370,101611
16,69916,75524,86161,95370,101611
17,69916,75524,86161,95370,101611
18,69916,75524,86161,95370,101611
19,71119,76824,87644,97011,103359
20,71119,76824,87644,97011,103359
21,71119,76824,87644,97011,103359
22,71119,76824,87644,97011,103359
23,71119,76824,87644,97011,103359
24,71119,76824,87644,97011,103359
25,72121,77907,88879,98379,104816
26,72121,77907,88879,98379,104816
27,72121,77907,88879,98379,104816
28,73525,79423,90609,100294,106856
29,74194,80145,91433,101205,107828
30,74862,80867,92257,102117,108799
31,74862,80867,92257,102117,108799
32,74862,80867,92257,102117,108799
33,74862,80867,92257,102117,108799
34,74862,80867,92257,102117,108799
35,74862,80867,92257,102117,108799
36,74862,80867,92257,102117,108799
