step,class 1,class 2,class 3,class 4,class 5
1,52425,53158,53996,55565,59093
2,52425,53158,53996,55565,59093
3,53741,55069,57002,60738,64296
4,53741,55069,57002,60738,64296
5,54932,58573,62215,65851,69484
6,54932,58573,62215,65851,69484
7,60135,63781,67405,71046,74683
8,60135,63781,67405,71046,74683
9,65337,68967,72611,77630,81280
10,65337,68967,72611,77630,81280
11,83028,86933,72611,,94045
12,86432,90428,72611,,94045
13,,,75515,,94045
14,,,75515,,94045
15,,,75515,,94045
16,,,76605,,95402
16,,,76605,,95402
17,,,76605,,95402
18,,,77694,,94949
19,,,77694,,94949
20,,,77694,,94949
21,,,78783,,98114
22,,,78783,,98114
23,,,78783,,98114
24,,,79872,,99471
25,,,79872,,99471
26,,,80961,,99471
27,,,80961,,100827
28,,,80961,,100827
29,,,80961,,100827
30,,,82050,,102184
31,,,82050,,102184
32,,,82050,,102184
33,,,82050,,102184
34,,,82050,,102184
35,,,82050,,102184
36,,,82050,,102184
