step,class 1,class 2,class 3,class 4,class 5,class 6
1,52658,53014,54629,58801,61605,65686
2,52658,53014,57179,61319,64101,68174
3,52658,55560,59722,63888,68056,70672
4,53939,58100,62265,66433,70601,74769
5,56480,60648,64820,68986,73144,77311
6,59029,63194,67358,71530,75695,79862
7,59029,65741,69910,74074,78245,82410
8,59029,68287,72453,76624,80788,84955
9,59029,68287,74995,79163,83331,87499
10,59029,68287,77546,81712,85881,90047
11,59029,68287,80094,84256,88427,92591
12,59029,68287,80895,85098,89311,93517
13,59029,68287,81696,85941,90196,94443
14,59029,68287,82497,86783,91080,95369
15,59029,68287,83298,87626,91964,96295
16,59029,68287,84098,88468,92849,97221
17,59029,68287,84499,88890,93291,97684
18,59029,68287,84899,89311,93733,98147
19,59029,68287,85300,89732,94175,98610
20,59029,68287,85700,90153,94617,99073
21,59029,68287,86101,90575,95059,99536
22,59029,68287,86501,90996,95501,99998
23,59029,68287,86902,91417,95944,100461
24,59029,68287,87302,91839,96386,100924
25,59029,68287,87703,92260,96828,101387
26,59029,68287,88103,92681,97270,101850
27,59029,68287,88504,93102,97712,102313
28,59029,68287,88904,93524,98154,102776
29,59029,68287,89305,93945,98596,103239
30,59029,68287,89705,94366,99038,103702
31,59029,68287,90106,94788,99481,104165
32,59029,68287,90506,95209,99923,104628
33,59029,68287,90906,95630,100365,105091
34,59029,68287,91307,96051,100807,105554
35,59029,68287,91707,96473,101249,106017
36,59029,68287,92108,96894,101691,106480
