step,class 1,class 2,class 3,class 4,class 5
1,54518,54518,62871,62876,65620
2,54518,55523,62872,64547,69286
3,54518,58019,62873,67677,72962
4,56308,60522,65421,70821,76611
5,58811,63017,68159,73961,80277
6,61321,65527,70895,77085,83954
7,63812,68016,73619,80220,87624
8,66320,70524,76350,83353,91280
9,66320,73024,79086,86482,94952
10,66320,73024,81817,89620,98617
11,66320,73024,81817,92761,102292
12,66320,73024,81817,95892,105955
13,66320,73024,81817,95892,105955
14,66320,73024,81817,95892,105955
15,66320,73024,81817,95892,105955
16,68972.8,75944.96,85089.68,99727.68,110193.2
17,68972.8,75944.96,85089.68,99727.68,110193.2
18,68972.8,75944.96,85089.68,99727.68,110193.2
19,68972.8,75944.96,85089.68,99727.68,110193.2
20,68972.8,75944.96,85089.68,99727.68,110193.2
21,70299.2,77405.44,86726.02,101645.52,112312.3
22,70299.2,77405.44,86726.02,101645.52,112312.3
23,70299.2,77405.44,86726.02,101645.52,112312.3
24,70299.2,77405.44,86726.02,101645.52,112312.3
25,70299.2,77405.44,86726.02,101645.52,112312.3
26,70962.4,78135.68,87544.19,102604.44,113371.85
27,70962.4,78135.68,87544.19,102604.44,113371.85
28,70962.4,78135.68,87544.19,102604.44,113371.85
29,70962.4,78135.68,87544.19,102604.44,113371.85
30,70962.4,78135.68,87544.19,102604.44,113371.85
31,72288.8,79596.16,89180.53,104522.28,115490.95
32,72288.8,79596.16,89180.53,104522.28,115490.95
33,72288.8,79596.16,89180.53,104522.28,115490.95
34,72288.8,79596.16,89180.53,104522.28,115490.95
35,72288.8,79596.16,89180.53,104522.28,115490.95
36,73615.2,81056.64,90816.87,106440.12,117610.05
