step,class 1,class 2,class 3,class 4,class 5,class 6
1,41706,50272,50410,51950,52461,55636
2,43048,50410,50555,53089,54853,58023
3,44391,50555,50691,54070,57247,60422
4,45259,50691,53291,56461,59643,62819
5,47428,52508,55676,58859,62036,65211
6,47428,54892,58078,61255,64436,67608
7,47428,57298,60473,63645,66821,70003
8,47428,59684,62865,66043,69220,72395
9,47428,62082,65260,68438,71615,74795
10,47428,64475,67654,70820,74011,77185
11,47428,66871,70048,73225,76395,79578
12,47428,66871,70048,76158,79456,82764
13,47428,66871,70048,76158,81047,85248
14,47428,66871,70048,76158,82880,88610
15,47428,69583,72785,78897,85651,91411
16,47428,69583,72785,78897,85651,91411
17,47428,69583,72785,78897,85651,91411
18,47428,69583,72785,78897,85651,91411
19,47428,69583,72785,78897,85651,91411
20,47428,71495,74689,80829,87582,93344
21,47428,71495,74689,80829,87582,93344
22,47428,71495,74689,80829,87582,93344
23,47428,71495,74689,80829,87582,93344
24,47428,71495,74689,80829,87582,93344
25,47428,73846,77056,83226,90014,95802
26,47428,73846,77056,83226,90014,95802
27,47428,73846,77056,83226,90014,95802
28,47428,73846,77056,83226,90014,95802
29,47428,73846,77056,83226,90014,95802
30,47428,75919,79129,85298,92085,97874
31,47428,75919,79129,85298,92085,97874
32,47428,75919,79129,85298,92085,97874
33,47428,75919,79129,85298,92085,97874
34,47428,75919,79129,85298,92085,97874
35,47428,75919,79129,85298,92085,97874
36,47428,75919,79129,85298,92085,97874
