step,class 1,class 2,class 3,class 4,class 5,class 6
1,54699,54699,57698,57699,58984,61344
2,54699,54699,57699,58390,61997,64476
3,54699,54699,57701,61122,64997,67599
4,54699,57077,60240,63855,68015,70734
5,56600,59447,62792,66595,71036,73877
6,58850,61832,65354,69329,74039,77000
7,61122,64214,67919,72060,77055,80136
8,63700,66595,70479,74787,80073,83276
9,63700,68963,73031,77540,83093,86418
10,63700,68963,75586,80269,8610289545
11,63700,68963,75586,82994,8909692659
12,63700,68963,75586,85739,9211295794
13,63700,68963,75586,85739,9513598940
14,63700,68963,75586,85739,9513598940
15,63700,68963,75586,85739,9513598940
16,63700,68963,77851,88061,97871101787
17,63700,68963,77851,88061,97871101787
18,63700,68963,77851,88061,97871101787
19,63700,68963,80114,90267,100152,104157
20,63700,68963,80114,90267,100152,104157
21,63700,68963,80114,90267,100152,104157
22,63700,68963,82376,92532,102423,106519
23,63700,68963,82376,92532,102423,106519
24,63700,68963,82376,92532,102423,106519
25,63700,68963,86904,97063,106974,111254
26,63700,68963,86904,97063,106974,111254
27,63700,68963,86904,97063,106974,111254
28,63700,68963,86904,97063,106974,111254
29,63700,68963,86904,97063,106974,111254
30,63700,68963,86904,97063,106974,111254
31,63700,68963,86904,97063,106974,111254
32,63700,68963,86904,97063,106974,111254
33,63700,68963,86904,97063,106974,111254
34,63700,68963,86904,97063,106974,111254
35,63700,68963,86904,97063,106974,111254
36,63700,68963,86904,97063,106974,111254
