step,class 1,class 2,class 3,class 4,class 5
1,60015,63611,64238,66821,71795
2,60015,64238,65134,69233,74388
3,60015,65134,66157,71301,76366
4,60015,66157,68174,73270,78254
5,60015,67013,72178,77333,82356
6,60015,70974,76197,81391,86468
7,61384,74929,80210,85456,90573
8,64583,78890,84231,89517,94685
9,67759,82866,88234,93576,98804
10,67759,86819,92252,97643,102909
11,67759,90774,96265,101687,107024
12,67759,90774,96265,105752,111129
13,67759,90774,96265,109806,115251
14,67759,90774,96265,109806,119357
15,67759,90774,96265,109806,119357
16,67759,90774,96265,109806,119357
17,67759,90774,96265,109806,119357
18,67759,90774,96265,109806,119357
19,67759,91912,97401,110940,120494
20,67759,91912,97401,110940,120494
21,67759,91912,97401,110940,120494
22,67759,91912,97401,110940,120494
23,67759,91912,97401,110940,120494
24,67759,93047,98538,112077,121629
25,67759,93047,98538,112077,121629
26,67759,93047,98538,112077,121629
27,67759,93047,98538,112077,121629
28,67759,93047,98538,112077,121629
29,67759,94184,99674,113215,123634
30,67759,94184,99674,113215,123634
31,67759,94184,99674,113215,123634
32,67759,94184,99674,113215,123634
33,67759,94184,99674,113215,123634
34,67759,94184,99674,113215,123634
35,67759,94184,99674,113215,123634
36,67759,94184,99674,113215,123634
