step,class 1,class 2,class 3,class 4
1,61015,65674,68806,73364
2,63864,68488,71595,76143
3,66704,71357,76011,78933
4,69544,74199,78854,83509
5,72397,77050,81695,86348
6,75232,79892,84544,89198
7,78082,82733,87392,92044
8,80923,85581,90232,94886
9,83762,88418,93072,97728
10,86611,91264,95921,100574
11,89457,94105,98764,103415
12,90351,95046,99752,104449
13,91246,95987,100740,105483
14,92140,96928,101727,106518
15,93035,97869,102715,107552
16,93930,98810,103703,108586
17,94377,99281,104196,109103
18,94824,99751,104690,109620
19,95271,100222,105184,110137
20,95719,100692,105678,110654
21,96166,101163,106172,111171
22,96613,101633,106665,111688
23,97061,102104,107159,112205
24,97508,102575,107653,112722
25,97955,103045,108147,113240
26,98402,103516,108641,113757
27,98850,103986,109135,114274
28,99297,104457,109628,114791
29,99744,104927,110122,115308
30,100192,105398,110616,115825
31,100639,105868,111110,116342
32,101086,106339,111604,116859
33,101533,106809,112098,117376
34,101981,107280,112591,117893
35,102428,107750,113085,118410
36,102875,108221,113579,118927
