step,class 1,class 2,class 3,class 4,class 5
1,58900,61753,64606,67460,70317
2,61753,64606,67460,70317,73169
3,64606,67460,70317,73169,76024
4,67460,70317,73169,76024,78875
5,67460,73169,76024,78875,81729
6,67460,76024,78875,81729,84586
7,67460,78875,81729,84586,87444
8,67460,81729,84586,87444,90291
9,67460,81729,87444,90291,93148
10,67460,81729,90291,93148,96002
11,67460,81729,90291,96002,98860
12,67460,81729,90291,98860,101715
13,67460,81729,90291,98860,104568
14,67460,81729,90291,98860,108486
15,67460,81729,90291,98860,108486
16,67460,81729,90291,101715,108486
17,67460,81729,90291,101715,108486
18,67460,81729,90291,101715,111414
19,67460,81729,90291,101715,111414
20,67460,81729,90291,104568,111414
21,67460,81729,90291,104568,111414
22,67460,81729,90291,104568,114269
23,67460,81729,90291,104568,114269
24,67460,81729,90291,107420,114269
25,67460,81729,90291,107420,114269
26,67460,81729,90291,107420,117129
27,67460,81729,90291,107420,117129
28,67460,81729,90291,107420,117129
29,67460,81729,90291,107420,117129
30,67460,81729,90291,107420,120015
31,67460,81729,90291,107420,120015
32,67460,81729,90291,107420,120015
33,67460,81729,90291,107420,120015
34,67460,81729,90291,107420,122901.05
35,67460,81729,90291,107420,122901.06
36,67460,81729,90291,107420,122901.07
