step,class 1,class 2,class 3,class 4,class 5
1,57067,58129,59199,60271,63618
2,57989,59070,60150,63123,67093
3,58350,59427,60510,65964,69939
4,58350,59906,64998,68964,72919
5,58350,60268,67835,71811,75766
6,58350,60268,70688,74656,78620
7,58350,60268,73545,77502,81465
8,58350,60268,76390,80354,84322
9,58350,60268,79477,83450,87435
10,58350,60268,82332,86294,90285
11,58350,60268,85179,89167,93126
12,58350,60268,88476,92464,96473
13,58350,60268,89001,92989,96998
14,58350,60268,89526,93514,97523
15,58350,60268,90051,94039,98048
16,58350,60268,90576,94564,98573
17,58350,60268,91101,95089,99098
18,58350,60268,91626,95614,99623
19,58350,60268,92151,96139,100148
20,58350,60268,92751,96739,100748
21,58350,60268,93351,97339,101348
22,58350,60268,93951,97939,101948
23,58350,60268,94551,98539,102548
24,58350,60268,95151,99139,103148
25,58350,60268,95751,99739,103748
26,58350,60268,96351,100339,104348
27,58350,60268,96951,100939,104948
28,58350,60268,97551,101539,105548
29,58350,60268,98151,102139,106148
30,58350,60268,98751,102739,106748
31,58350,60268,99351,103339,107348
32,58350,60268,99951,103939,107948
33,58350,60268,100551,104539,108548
34,58350,60268,101151,105139,109148
35,58350,60268,101751,105739,109748
36,58350,60268,102351,106339,110348
