step,class 2,class 3,class 4,class 5,class 6
1,54636,54787,56460,57016,60466
2,54787,54945,56611,59616,63061
3,54945,55092,58764,62217,65667
4,55092,57918,61363,64821,68272
5,57067,60510,63969,67422,70872
6,59657,63121,66573,70030,73478
7,62272,65723,69170,72622,76081
8,64866,68323,71776,75229,78680
9,67472,70926,74379,77832,81288
10,70072,73528,76978,80436,83886
11,72676,76129,79581,83027,86487
12,72676,76129,82770,86354,89949
13,72676,76129,82770,88083,92648
14,72676,76129,82770,90075,96302
15,75602,79075,85746,93087,99347
16,75602,79075,85746,93087,99347
17,75602,79075,85746,93087,99347
18,75602,79075,85746,93087,99347
19,75602,79075,85746,93087,99347
20,77701,81173,87846,95185,101447
21,77701,81173,87846,95185,101447
22,77701,81173,87846,95185,101447
23,77701,81173,87846,95185,101447
24,77701,81173,87846,95185,101447
25,80256,83746,90452,97828,104119
26,80256,83746,90452,97828,104119
27,80256,83746,90452,97828,104119
28,80256,83746,90452,97828,104119
29,80256,83746,90452,97828,104119
30,82510,85999,92702,100081,106370
31,82510,85999,92702,100081,106370
32,82510,85999,92702,100081,106370
33,82510,85999,92702,100081,106370
34,82510,85999,92702,100081,106370
35,82510,85999,92702,100081,106370
36,82510,85999,92702,100081,106370
