step,class 1,class 2,class 3,class 4,class 5,class 6
1,60636,60636,64954,65863,69386,72895
2,58304,61281,64954,68630,72291,75963
3,58304,63866,67679,71508,75328,79150
4,60157,66545,70516,74504,78489,82481
5,62673,69338,73488,77639,81793,85939
6,65314,72248,76568,80894,85221,89554
7,68059,75278,79780,84297,88815,93312
8,70917,78447,83133,87839,92535,97233
9,73889,81747,86625,91529,96417,101314
10,76995,85161,90262,95374,100466,105567
11,80233,88744,94044,99380,104685,110007
12,83606,92470,97999,103551,109082,114625
13,85487,94550,100204,105881,111537,117204
14,85487,94550,100204,105881,111537,117204
15,87368,96631,102409,108211,113991,119783
16,87368,96631,102409,108211,113991,119783
17,87368,96631,102409,108211,113991,119783
18,88622,98018,103879,109764,115627,121502
19,88622,98018,103879,109764,115627,121502
20,88622,98018,103879,109764,115627,121502
21,89876,99405,105349,111317,117264,123221
22,89876,99405,105349,111317,117264,123221
23,89876,99405,105349,111317,117264,123221
24,91131,100792,106819,112870,118900,124941
25,91131,100792,106819,112870,118900,124941
26,91131,100792,106819,112870,118900,124941
27,92385,102179,108289,114424,120536,126660
28,92385,102179,108289,114424,120536,126660
29,92385,102179,108289,114424,120536,126660
30,93639,103566,109759,115977,122172,128380
31,93639,103566,109759,115977,122172,128380
32,93639,103566,109759,115977,122172,128380
33,94893,104953,111229,117530,123809,130099
34,94893,104953,111229,117530,123809,130099
35,94893,104953,111229,117530,123809,130099
36,96147,106340,112699,119083,125445,131818
