step,class 1,class 2,class 3,class 4
1,69504,70332,76600,82857
2,69504,74992,81254,87513
3,73390,79649,85902,92167
4,78032,84303,90568,96827
5,82700,88960,95213,101484
6,87349,93614,99873,106126
7,91837,98265,104536,110783
8,91837,102922,109187,115452
9,91837,107579,113844,120088
10,91837,112244,118489,124763
11,91837,116892,123149,129411
12,91837,116892,123149,129411
13,91837,116892,123149,129411
14,91837,116892,123149,129411
15,91837,116892,123149,129411
16,92795,117850,124107,130369
17,92795,117850,124107,130369
18,92795,117850,124107,130369
19,93742,118797,125054,131316
20,93742,118797,125054,131316
21,93742,118797,125054,131316
22,94691,119746,126003,132265
23,94691,119746,126003,132265
24,94691,119746,126003,132265
25,95643,120698,126955,133217
26,95643,120698,126955,133217
27,95643,120698,126955,133217
28,96586,121641,127898,134160
29,96586,121641,127898,134160
30,96586,121641,127898,134160
31,97539,122594,128851,135113
32,97539,122594,128851,135113
33,97539,122594,128851,135113
34,98488,123543,129800,136062
35,98488,123543,129800,136062
36,98488,123543,129800,136062
