step,class 1,class 2,class 3,class 4,class 5
1,60918,63306,65696,68966,73479
2,62113,64501,66738,71384,76056
3,63306,65696,69092,73877,78710
4,64501,66609,71499,76463,81467
5,65696,68948,74010,79141,84335
6,68375,71354,76594,81905,87276
7,70753,73850,79277,84786,90331
8,73241,76446,82038,87733,93487
9,75808,79120,84931,90819,96765
10,75808,81889,87894,94002,100161
11,75808,81889,90987,97290,103666
12,75808,81889,93422,103408,110173
13,79295,85656,97719,108165,115241
14,79295,85656,97719,108165,115241
15,79295,85656,97719,108165,115241
16,79295,85656,97719,108165,115241
17,79295,85656,97719,108165,115241
18,79295,85656,97719,108165,115241
19,80660,87130,99401,110026,117224
20,80660,87130,99401,110026,117224
21,80660,87130,99401,110026,117224
22,80660,87130,99401,110026,117224
23,80660,87130,99401,110026,117224
24,80660,87130,99401,110026,117224
25,81797,88358,100802,111577,118877
26,81797,88358,100802,111577,118877
27,81797,88358,100802,111577,118877
28,81797,88358,100802,111577,118877
29,81797,88358,100802,111577,118877
30,81797,88358,100802,111577,118877
31,81797,88358,100802,111577,118877
32,81797,88358,100802,111577,118877
33,81797,88358,100802,111577,118877
34,81797,88358,100802,111577,118877
35,81797,88358,100802,111577,118877
36,81797,88358,100802,111577,118877
