step,class 1,class 2,class 3,class 4,class 5
1,58866,66282,66282,66282,67774
2,58866,66282,66282,67016,70418
3,59581,66282,66282,69660,73058
4,62217,66282,68924,72294,75707
5,64863,68200,71559,74937,78348
6,67502,70844,74204,77577,80984
7,70139,73476,76844,80216,83626
8,72784,76119,79491,82858,86268
9,75423,78764,82127,85498,88905
10,78067,81403,84767,88135,91544
11,78067,84041,87409,90784,94192
12,78067,84041,90050,93422,96825
13,78067,84041,90050,96061,99466
14,78067,84041,90050,96061,102107
15,82187,88268,94383,100513,106670
16,82187,88268,94383,100513,106670
17,82187,88268,94383,100513,106670
18,82187,88268,94383,100513,106670
19,84873,90962,97076,103196,109354
20,84873,90962,97076,103196,109354
21,84873,90962,97076,103196,109354
22,84873,90962,97076,103196,109354
23,87559,93650,99760,105882,112053
24,87559,93650,99760,105882,112053
25,92930,99019,105121,111277,117409
26,92930,99019,105121,111277,117409
27,92930,99019,105121,111277,117409
28,92930,99019,105121,111277,117409
29,92930,99019,105121,111277,117409
30,92930,99019,105121,111277,117409
31,92930,99019,105121,111277,117409
32,92930,99019,105121,111277,117409
33,92930,99019,105121,111277,117409
34,92930,99019,105121,111277,117409
35,92930,99019,105121,111277,117409
36,92930,99019,105121,111277,117409
