step,class 1,class 2,class 3,class 4,class 5
1,49458,55689,55689,55689,56943
2,49458,55689,55689,56306,59164
3,50059,55689,55689,58527,61382
4,52274,55689,57909,60739,63608
5,54496,57301,60123,62961,65827
6,56714,59522,62345,65179,68041
7,58930,61734,64563,67396,70261
8,61152,63954,66786,69615,72481
9,63369,66176,69002,71834,74696
10,65590,68394,71219,74050,76914
11,65590,70609,73440,76275,79138
12,65590,70609,75658,78491,81351
13,65590,70609,75658,80708,83570
14,65590,70609,75658,80708,85788
15,69052,74161,79299,84449,89622
16,69052,74161,79299,84449,89622
17,69052,74161,79299,84449,89622
18,69052,74161,79299,84449,89622
19,71308,76424,81562,86704,91877
20,71308,76424,81562,86704,91877
21,71308,76424,81562,86704,91877
22,71308,76424,81562,86704,91877
23,73565,78684,83816,88961,94145
24,73565,78684,83816,88961,94145
25,78079,83194,88321,93493,98645
26,78079,83194,88321,93493,98645
27,78079,83194,88321,93493,98645
28,78079,83194,88321,93493,98645
29,78079,83194,88321,93493,98645
30,78079,83194,88321,93493,98645
31,78079,83194,88321,93493,98645
32,78079,83194,88321,93493,98645
33,78079,83194,88321,93493,98645
34,78079,83194,88321,93493,98645
35,78079,83194,88321,93493,98645
36,78079,83194,88321,93493,98645
